date,league,home_team,away_team,home_win_%,draw_%,away_win_%,odds_home,odds_draw,odds_away,bet,de_normalized_risk,normalized_risk,ev
11/03/2025 20:45,LET,Wimbledon,Cheltenham,0.53,0.24,0.22,1.73,3.4,4.75,away,5.57894736842105,,0.04499999999999993
11/03/2025 20:45,LET,Accrington,Newport,0.43,0.26,0.29,1.73,3.5,4.5,away,13.222222222222221,,0.30499999999999994
11/03/2025 20:45,LET,Grimsby Town,Notts County,0.36,0.26,0.36,2.35,3.4,2.8,away,13.142857142857142,,0.007999999999999896
11/03/2025 20:45,LET,Salford,Chesterfield,0.47,0.26,0.26,2.45,3.25,2.75,home,25.367346938775505,,0.15149999999999997
11/03/2025 20:45,LET,Colchester,Port Vale,0.38,0.26,0.34,2.05,3.0,3.75,away,16.400000000000006,,0.27500000000000013
11/03/2025 20:45,LEO,Exeter,Mansfield Town,0.49,0.25,0.25,2.9,3.4,2.3,home,31.413793103448278,,0.42099999999999993
11/03/2025 20:45,LEO,Birmingham City,Stevenage,0.71,0.16,0.12,1.51,3.75,6.25,home,51.794701986754966,,0.07209999999999994
11/03/2025 20:45,LEO,Crawley,Charlton,0.31,0.25,0.42,4.0,3.5,1.83,home,13.750000000000002,,0.24
11/03/2025 20:45,LEO,Blackpool,Cambridge United,0.62,0.19,0.17,1.63,3.85,4.75,home,38.68711656441718,,0.010599999999999943
11/03/2025 20:45,CHA,Burnley,West Bromwich,0.59,0.21,0.19,1.94,3.25,4.5,home,37.86597938144329,,0.14459999999999995
11/03/2025 20:45,CHA,Cardiff,Luton,0.45,0.26,0.27,2.37,3.25,3.1,home,21.793248945147678,,0.0665
11/03/2025 20:45,CHA,Sunderland,Preston,0.54,0.23,0.22,1.63,3.85,5.75,away,8.43478260869565,,0.2649999999999999
11/03/2025 21:00,LEO,Reading,Wrexham,0.41,0.26,0.31,3.15,3.25,2.2,home,22.269841269841265,,0.29149999999999987
11/03/2025 21:00,CHA,Sheffield United,Bristol City,0.55,0.22,0.21,2.21,3.3,3.4,home,34.63800904977376,,0.21550000000000002
12/03/2025 20:45,CHA,Portsmouth,Plymouth,0.54,0.23,0.22,1.68,3.85,5.0,away,6.400000000000001,,0.09999999999999998
12/03/2025 20:45,CHA,Hull,Oxford,0.5,0.25,0.24,1.75,3.7,5.0,away,8.799999999999999,,0.19999999999999996
12/03/2025 20:45,CHA,Leeds,Millwall,0.66,0.18,0.14,1.3,5.25,10.5,away,5.809523809523812,,0.4700000000000001
12/03/2025 20:45,CHA,Watford,Swansea,0.49,0.25,0.25,2.37,3.25,3.1,home,27.48101265822785,,0.1613
13/03/2025 18:45,UEL,Lazio,Plzeň,0.69,0.17,0.13,1.37,5.0,8.25,away,2.4545454545454546,,0.07250000000000001
13/03/2025 18:45,UEL,Olympiacos Piraeus,Bodo,0.5,0.24,0.24,1.58,4.25,5.5,away,10.18181818181818,,0.32000000000000006
13/03/2025 18:45,UEL,Athletic Bilbao,AS Roma,0.45,0.26,0.27,1.95,3.55,3.95,away,8.518987341772158,,0.06650000000000011
13/03/2025 21:00,LET,Bromley,Walsall,0.37,0.26,0.36,3.5,3.4,2.0,home,18.999999999999996,,0.29500000000000004
13/03/2025 21:00,UEL,Tottenham,AZ,0.62,0.19,0.17,1.5,4.75,6.0,away,3.166666666666668,,0.02000000000000013
13/03/2025 21:00,UEL,Lyon,FCSB,0.61,0.2,0.18,1.28,5.75,10.5,away,10.190476190476188,,0.8899999999999999
13/03/2025 21:00,UEL,Manchester United,Real Sociedad,0.5,0.25,0.24,1.88,3.5,4.25,away,6.11764705882353,,0.020000000000000018
14/03/2025 20:45,LI1,Nice,Auxerre,0.58,0.22,0.19,1.58,4.25,5.5,away,4.272727272727271,,0.04499999999999993
14/03/2025 21:00,CHA,Bristol City,Norwich,0.47,0.26,0.26,2.01,3.45,3.85,away,6.779220779220782,,0.001000000000000112
